342,Juventus
218,FC Barcelona
491,Real Madrid
220,FC Bayern München
393,Manchester United
630,Uruguay
608,Tottenham Hotspur
392,Manchester City
90,Borussia Dortmund
75,Bayer 04 Leverkusen
400,Milan
553,Sevilla FC
381,Liverpool
137,Chelsea
450,Paris Saint.Germain
52,Arsenal
28,Ajax
368,Lazio
243,FC Porto
213,Everton
63,Atlético Madrid
527,SL Benfica
376,Leicester City
500,River Plate
416,Napoli
510,Russia
632,Valencia CF
435,Olympique Lyonnais
377,Levante UD
422,Newcastle United
656,Watford
578,Sporting CP
334,Internacional
599,TSG 1899 Hoffenheim
517,SD Eibar
436,Olympique de Marseille
511,SC Braga
396,Medipol Başakşehir FK
524,SK Slavia Praha
644,Villarreal CF
503,Roma
91,Borussia Mönchengladbach
445,PSV
64,Atlético Mineiro
58,Athletic Club de Bilbao
93,Bournemouth
333,Inter
205,Eintracht Frankfurt
605,Tigres U.A.N.L.
474,RB Leipzig
